rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
3.0,Smells like gasoline! Going back!,"First & most offensive: they reek of gasoline so if you are sensitive/allergic to petroleum products like I am you will want to pass on these.  Second: the phone adapter is useless as-is. Mine was not drilled far enough to be able to tighten it into place for my iPhone 12 max. It just slipped & slid all over. Stupid me putting the adapter together first without picking up the binoculars to smell them bc I wasted 15 minutes trying to figure out how to put the adapter together bc it does not come with instructions!  I had to come back here to the website which was a total pain. Third: the tripod is also useless. I would not trust the iOS to hold my $1600 phone nor even a Mattel Barbie for that matter. It’s just inefficient for the job imo.  Third: in order to try to give an honest review I did don gloves & eyewear to check the binoculars out.  They seemed average except for mine seemed to be missing about 10% of the film costing in the lower edge of one of the lenses which would have ruined every video & photograph unplanned to take so for me these are a very huge hard pass.  I expect the accessories that come with the main product to be as good or better than the product I’m buying. Otherwise I would just buy the product as a stand alone.  Sadly, I found a decent pair of binoculars last year with a much better quality phone adapter & tripod, but they had a defect too.  Guess I’m going to have to pay more.  Ugh.","""\""\\\""\\\\\\\""[{\\\\\\\\\\\\\\\""small_image_url\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""https://m.media-amazon.com/images/I/71YN+Qk3kCL._SL256_.jpg\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""medium_image_url\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""https://m.media-amazon.com/images/I/71YN+Qk3kCL._SL800_.jpg\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""large_image_url\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""https://m.media-amazon.com/images/I/71YN+Qk3kCL._SL1600_.jpg\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""attachment_type\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""IMAGE\\\\\\\\\\\\\\\""}]\\\\\\\""\\\""\""""",B083NRGZMM,B083NRGZMM,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1658185117948,0,True
1.0,Didn’t work at all lenses loose/broken.,"These didn’t work. Idk if they were damaged in shipping or what, but the lenses were loose or something. I could see half a lens with its edge in the frame and the rest was missing. It looked like it came loose or was broken.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B07N69T6TM,B07N69T6TM,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1592678549731,0,True
5.0,Excellent!,"I love these. They even come with a carry case and several sizes of ear bud inserts. Thank heaven!  I get ear pain from most, but the smallest buds fit great.  They also have a charger and all of it fits in the carry case. I just wish they came in more colors preferably something bright!  When I leave them on my nightstand it takes a while to figure out which of half a dozen black cables are the right ones. Even white would be ok as only my iPhone has a white cord.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B01G8JO5F2,B01G8JO5F2,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1523093017534,0,True
5.0,Great laptop backpack!,"I was searching for a sturdy backpack for school that would allow me to carry my laptop as well as schoolbooks. After reading many of the reviews of this bag, I placed my order and crossed my fingers. I shouldn't have worried; it's a great bag! Solidly built and traveler-friendly with a ton of compartments for every little thing one might need to stow away. While this backpack is slightly larger than your average backpack, it is comfortable to wear trekking cross campus. Also, another aspect of this bag that I love is that it stands upright. I know that sounds kinda crazy, but I find it annoying when your backpack flops over next to your desk and stuff kind of just falls out, or if you need to grab something quickly out of the bag you have to awkwardly curl your body around the side of your chair and then on the way up, smash your head against the desk. So yeah, lazy girl (points to self) loves the convenience of a bag that stands upright for easy grabbage. I plan to travel with this backpack when I fly home this Christmas instead of bringing a bulky tote bag on the plane.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B001OC5JKY,B001OC5JKY,AGGZ357AO26RQZVRLGU4D4N52DZQ,1290278495000,18,True
5.0,Best Headphones in the Fifties price range!,I've bought these headphones three times because I love them so much and overuse them and find ways to break the plug to where I can't use my warranty. The sound and bass are awesome. Hands down my favorite headphones in this price bracket.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B013J7WUGC,B07CJYMRWM,AG2L7H23R5LLKDKLBEF2Q3L2MVDA,1676601581238,0,True
5.0,Great Fan! I’m a FAN!,"Light weight, quiet and totally awesome!!! It doesn’t come with a charging base, but the cord ends in a USB so you can plug it into a phone charger or portable charger. Anything with USB! It’s  so light and works great! It’s really quiet also!!!","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B072DSHKCH,B07CML419K,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1637522881041,0,True
5.0,solid sound for the price,Update 2-they sent a new warranty replacement. Good company.<br />Update-  was 5 star until they left headphone died after 1.5 years.  Will contact support.<br />old:<br />love them.  a bit noisy when you're jogging.  but solid for biking or chilling around the house,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B07BHHB5RH,B07BHHB5RH,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1565130879386,0,True
5.0,Love the headphones - great range,These are fantastic headphones and I love that i can have my cell phone plugged in at a central location in my house and walk around the house and still listen to music or my book. the range for me is about 30' and the headphones will disconnect if i go outside and then reconnect when i get close to my phone again. If my phone is in my pocket it will stay connected where ever i go. I love listening to things without being attached or tethered to my phone. It also makes it harder for my kids to pull the earphones out of my ears when there is no long cord attached to my phone. I love the 1 click pause feature so i can quickly pause what i am listening to talk to someone (i don't have to go find my phone and swipe and pause). They are comfortable and stay on really well for my ears. I have taken them running and they stayed on as well. I had an issue about 1 year after I bought the headphones and the customer service was wonderful and understanding. really great product and I will continue to purchase and recommend these to my friends.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B07BND376H,B09S6Y5BRG,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1541356831659,9,True
5.0,Five Stars,pretty good for the price.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B002HWRZ2K,B01LW71IBJ,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1456772571000,0,True
5.0,BUY THIS THANG,yes.. so good.  just buy it. my favorite feature is it auto connects and remembers my devices.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00WK47VEW,B017T99JPG,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1456772365000,0,True
1.0,Not sure why this has good reviews. My devices had a hard time connecting,This devices brought my wifi network to its knees. Not sure why this has good reviews. My devices had a hard time connecting. And even if my devices weren't connected it would hog a bunch of bandwidth and slow the whole network. I personally would just buy an AirPort Extreme. That solved range problems for me.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00L0YLRUW,B00L0YLRUW,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1439226089000,0,True
3.0,Works but corners crack,"Works well, but the corner of the plastic cracked and is broken after a month or so. I think at least 2 of the plastic corners are cracked now. still works but wish it was higher quality.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00CB7W1GG,B01HHURN3W,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1408995743000,0,True
5.0,legit,legit.  love them.  I play with 1 in fully and 1 ear in 1/2.  really nice.  good product.  buy rechargeable batteries to go with them you'll save $$$,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B004S2JX7W,B004S2JX7W,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1384912340000,1,True
3.0,marginal sound quality,"this really deserves 3 stars.  its not terrible, but its not great.  first is sound quality.  its not terrible.  2nd is limited distance.  its not terrible, but not great.<br /><br />I wish I had found a better product.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B0047T79VS,B0047T79VS,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1344406083000,0,True
5.0,Five Stars,These work great for 8x10 frames.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00IXNUDG2,B00IXNUDG2,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1530556616080,0,True
5.0,... stronger WIFI to my upstairs level & it works great! Great value for the price,Bought to get stronger WIFI to my upstairs level & it works great! Great value for the price!,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00PVCXB4Y,B00PVCXB4Y,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1530556481268,0,True
5.0,My kids love the wi fi streaming options,This is the 3rd Sony Blu Ray player I have bought & have been impressed with them all. My kids love the wi fi streaming options.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00TYFCJ8S,B00X5C22SS,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1461331182000,0,True
5.0,Love Otterbox cases,Love Otterbox cases. These have protected my 7 & 9 year old's IPods with lots of drops & wear & tear.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B007Y2YVHU,B0BKQZGST4,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,1428326275000,0,True
5.0,Five Stars,great product. high quality. fits perfectly.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B01LQF8B7G,B01LQF8B7G,AGKHLEW2SOWHNMFQIJGBECAF7INQ,1486320479000,0,True
4.0,Four Stars,Pretty cool!!!<br /><br />Thanks Amazon.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00ZV9RDKK,B075X8471B,AEM663T6XHZFWLODF4US2RCOCUSA,1509491262120,0,True
5.0,NO GLUE JUST SCREWS,It came in quickly.  My son and grandson put it together for me in about 3 or 4 hr.  Time out for dinner and couple of beers.  Back to putting it to finish and test it out.  TV hung perfectly.  Fit right in the same corner a much smaller stand was in Clean looks with the wires now.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B08C78SQPM,B0B2DLVCF3,AFE337D2J37YRU5U6MVTVKNDKWDA,1643011912524,0,True
5.0,Good choice,"Just a normal cable, works great for my external monitor!","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B014I8UQJY,B0199HAOAU,AGBFYI2DDIKXC5Y4FARTYDTQBMFQ,1597714311689,0,True
5.0,Good alarm clock,"I love this alarm. Bright, nice tone. The system is a little confusing but the manual helps a lot. Once you get the hang of it you'll love it. It's a nice gentle way to wake up.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B0093162RM,B0093162RM,AGBFYI2DDIKXC5Y4FARTYDTQBMFQ,1578593798362,0,True
5.0,Works great!,"Works great with my pixel 2, I can charge quickly while listening to music.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B07FCZY1ZB,B07FCZY1ZB,AGBFYI2DDIKXC5Y4FARTYDTQBMFQ,1544200044036,0,True
5.0,Great for music/podcasts and receiving calls,Works flawlessly! Great for music/podcasts and receiving calls. The microphone isn't set up that close to my face but still captures my voice clearly.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00RH29CJO,B00RH29CJO,AGBFYI2DDIKXC5Y4FARTYDTQBMFQ,1535118501776,0,True
5.0,Nice lightweight sleeve,I am not sure how much protection this provides - certainly less than a camera bag - but it will protect against scratches and small bumps. It's fairly thin. It fits my Canon EOS Rebel T6i w/ kit lens very well - like a glove.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B01976K5B6,B08P3VMW76,AGBFYI2DDIKXC5Y4FARTYDTQBMFQ,1483327495000,0,True
5.0,better than I expected!,"Awesome product, fits well on my mac. Would definitely recommend.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B013KPXNSW,B013KPXNSW,AGBFYI2DDIKXC5Y4FARTYDTQBMFQ,1453856042000,0,False
4.0,Did anyone use this for a recessed TV mount?,I believe the electrical boxes are made especially to fit in a recessed (in wall) TV mount fixture. That is perhaps why it is made narrower. In the comments I am not seeing anyone using it for this. I would love to hear if someone used it placed inside a recessed mount and how it worked.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B001PL3XJS,B0862W5BQ8,AEVWAM3YWN5URJVJIZZ6XPD2MKIA,1484481615000,0,False
5.0,Don't know why I didn't get one of these years ...,Don't know why I didn't get one of these years ago..it's saving me $9 a month rental fee i was paying Comcast,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B004XC6GJ0,B004XC6GJ0,AEVWAM3YWN5URJVJIZZ6XPD2MKIA,1409848855000,0,True
5.0,Great portable monitor,"Worked great for a vacation monitor. Had no issues with my MacBook. Good resolution, no dead pixels. Very easy to carry around","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B07V1SQ966,B0BNX9QVXZ,AFTC6ZR5IKNRDG5JCPVNVMU3XV2Q,1638832601151,0,True
5.0,All rounder!,"This has been a great headset for video conferencing all day. Comfort is great, mic quality is great and when I do play music it sounds great too.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B07Q9MJKBV,B0BN534JBB,AFTC6ZR5IKNRDG5JCPVNVMU3XV2Q,1603918014826,0,True
5.0,"Great, simple, strong",Can easily hold 2 pairs of headphones and looks great!,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B07PQ334GJ,B08X4R1T16,AFTC6ZR5IKNRDG5JCPVNVMU3XV2Q,1601660312073,0,True
5.0,A great device to make any headphone wireless,Sound quality of my dt 990 much improved compared to just hooking up to my phone. Would recommend to everyone. Small and easy to use,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B07ZK3M6XK,B08932J7NC,AFTC6ZR5IKNRDG5JCPVNVMU3XV2Q,1599158339350,0,True
5.0,Big hit at lunch,These are incredible value for the money. All of the included parts have worked for a few months and are still in great quality. We use them at lunch for an hour each day with smash.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B078LLS33F,B078LLS33F,AFTC6ZR5IKNRDG5JCPVNVMU3XV2Q,1570934951031,0,True
5.0,Easy and plentiful,"Stick great to my desk and provide ample spaces for all of my cords. The color coding is more useful than I thought originally. Since each one has two spots, I had enough for my desk and bed night stand.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00V3KM73E,B00V3KLZSW,AFTC6ZR5IKNRDG5JCPVNVMU3XV2Q,1464791980000,0,True
5.0,Great RAM,"This pair is fantastic for the price I paid(just over 50$) . There are a little long and tall which forced me to move my two fans around them, but that is more case design flaw than anything. I haven't had any issues with them and have used PNY for a long time.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B012ASFKOU,B012ASFKOU,AFTC6ZR5IKNRDG5JCPVNVMU3XV2Q,1464791683000,0,True
4.0,good and cheap,Had for about a month now. Still running strong and keeping my twc ultimate internet on all 8 of my houses devices. Goes through three rooms and I'll lose just a small fraction of speed (10mbps loss for a ranch style house).,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B001FWYGJS,B001FWYGJS,AFTC6ZR5IKNRDG5JCPVNVMU3XV2Q,1427592277000,0,True
5.0,Does what it is meant to do,"Very easy to configure, fits my 11.6&#34; Alienware very well. I can focus air on my Gpu and WASD keys to prevent from getting hot. Easy recommendation to anyone who needs a cooler for intense applications. My WASD keys barely get hot and my Gpu runs much more stable.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00CPZJP7M,B08YP2F6VG,AFTC6ZR5IKNRDG5JCPVNVMU3XV2Q,1382629272000,4,True
5.0,Works great with my Samsung Galaxy Pro S5e,Everything works great on the hub with my Samsung Galaxy Pro S5e.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B07TVSLDND,B0C8HDXFXN,AEAUZK2OLWXD75AWJOCCGGCL3H2A,1593484216259,0,True
5.0,At first seemed DOA.,Must visually confirm that connector is fully extended by looking at slide groove.  Mine seemed DOA until I realized that  it wasn't making electrical connection.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00RBGYGPG,B00RBGYGPG,AEAUZK2OLWXD75AWJOCCGGCL3H2A,1443274800000,0,True
5.0,Protects my power supply from small screws,Any small screw dropped in my computer case seemed to end up inside the bottom mounted power supply.  This filter will keep them out.,"""\""\\\""\\\\\\\""[{\\\\\\\\\\\\\\\""small_image_url\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""https://images-na.ssl-images-amazon.com/images/I/6196JJXVPVL._SL256_.jpg\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""medium_image_url\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""https://images-na.ssl-images-amazon.com/images/I/6196JJXVPVL._SL800_.jpg\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""large_image_url\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""https://images-na.ssl-images-amazon.com/images/I/6196JJXVPVL._SL1600_.jpg\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""attachment_type\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""IMAGE\\\\\\\\\\\\\\\""}]\\\\\\\""\\\""\""""",B007EVDJV0,B007EVDJV0,AEAUZK2OLWXD75AWJOCCGGCL3H2A,1342554164000,1,True
5.0,5 stars but be careful that you get what you paid for,Bought four of these to use in a RAID.  All four of the boxes had PN: 98D648 - 550 on the box.  When I installed one of the drives it was smaller than the others.  PN on smaller drive's label was 98J146 - 308 and it was called a Barracuda 7200.10.  Larger drives were Barracuda 7200.11 9BX154 - 303 on the drive label.  Returned it and will check the replacement when it arrives.<br /><br />7/3/08 Received replacement drive and it was Barracuda 7200.11 9BX154 - 303.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B000EY5F5C,B00KLZLBCK,AEAUZK2OLWXD75AWJOCCGGCL3H2A,1214848351000,1,True
5.0,Cute for photos!,Thin material but perfect to hang for a photo backdrop. Very happy!,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B07RJHQSGB,B09NHSGWPD,AE74DYR3QUGVPZJ3P7RFWBGIX7XQ,1635870179357,0,True
1.0,Arrived damaged,Arrived damaged,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B095KHWNLK,B095KHWNLK,AFQLNQNQYFWQZPJQZS6V3NZU4QBQ,1658263333664,0,True
5.0,Great,Fast charging,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B07PGRR6QN,B08BRJ98H3,AFQLNQNQYFWQZPJQZS6V3NZU4QBQ,1606084429795,0,True
5.0,As good as advertised,This product is as good as advertised. The cost is attractive; considering you will likely replace them again in the future. I’ve attached a pic of the old and newly installed pads for comparison.,"""\""\\\""\\\\\\\""[{\\\\\\\\\\\\\\\""small_image_url\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""https://m.media-amazon.com/images/I/81Nug5NTwhL._SL256_.jpg\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""medium_image_url\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""https://m.media-amazon.com/images/I/81Nug5NTwhL._SL800_.jpg\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""large_image_url\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""https://m.media-amazon.com/images/I/81Nug5NTwhL._SL1600_.jpg\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""attachment_type\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""IMAGE\\\\\\\\\\\\\\\""}]\\\\\\\""\\\""\""""",B07TZJ1CMC,B08912RRG5,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1653252147409,0,True
5.0,Good cord,Good cord. 15ft is exactly what I wanted.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00DI89SLS,B07GVWH35S,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1560028052317,0,True
5.0,Great cover and protection,Fits my MacBook Air perfectly! Has a soft touch. Great product.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B06VTQK7CB,B06VTQK7CB,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1560014186774,0,True
